Any deal with upfront > $10M; excluding acquisitions < $300M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal Title,Pharma,Biotech,Other Company Names (Principal Company),Principal Company Type,Other Company Names (Partner Company),Partner Company Type,Bucket,Modality,TA,# of Targets,Color,Deal Start Date,Most Recent Event Date,Agreement Type,Deal Asset Type,Deal Transaction Type,Status,Total Projected,Total Paid,Upfront Payment,Total Milestone,Royalties (Minimum; estimate),Royalties (Maximum; estimate),Indications,Target-based Actions,Technologies,Drugs,Drugs Highest Status (Deal Start),Drugs Highest Status (Current),Territories Included,Territories Excluded
Janssen and Theravance to codevelop and commercialize TD-1473 and related back up compounds for inflammatory intestinal diseases worldwide,Janssen Biotech Inc,Theravance Biopharma Inc,Theravance Biopharma Antibiotics Inc; Theravance Biopharma Antibiotics Ip Llc; Theravance Biopharma R&D Ip Llc,Pharma,"BIOCAD; Centocor; Centocor Inc; Centocor Ortho Biotech Inc; Centocor R&D Inc; Centocor Research and Development Inc; Centocor, Inc; Centocor_Ortho Biotech Inc; Jannsen Biotech Inc; Janssen Biotech; Ortho Biotech Holding Llc",Pharma,Asset License,Small Molecule,Gastrointestinal,1,Theravance gets double digit royalties for ex-US sales,05-Feb-2018,05-Feb-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,1000,100,100,700,,Payment Unspecified,Inflammatory bowel disease (Primary); Crohns disease; Gastrointestinal inflammation; Ulcerative colitis; Unidentified indication,JAK tyrosine kinase inhibitor; Jak3 tyrosine kinase inhibitor,Small molecule therapeutic (Primary); Local formulation unspecified; Oral formulation,TD-1473; TD-5202,Phase 1 Clinical,Phase 3 Clinical,World,
Seattle to use Pieris' Anticalin technology to develop novel Antibody-Anticalin fusion proteins for solid tumors and blood cancers worldwide,Seattle Genetics Inc,Pieris Pharmaceuticals Inc,CM 00 Vermoegensverwaltung 418 Aktiengesellschaft; Marika Inc; Pieris AG; Pieris Pharmaceuticals Gmbh; Pieris Proteolab AG,Biotech,Seattle Genetics,Biotech,Modality,Bispecifics,Cancer,3,Immunoncology; Pieris's anticalin tech combined with Seattle's mAbs - seeing it as a way to broaden bispecifics platform,08-Feb-2018,08-Feb-2018,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,1230,30,30,1200,,Payment Unspecified,Solid tumor (Primary); Hematological neoplasm,,Protein fusion (Primary); Biological therapeutic; Immuno-oncology; Multispecific monoclonal antibody; Parenteral formulation unspecified,"bispecific mAb/anticalin costimulators (cancer), Pieris/Seattle",Discovery,Discovery,World,
"Roivant to develop and commercialize Poxel's imeglimin for metabolic disorders including type 2 diabetes in the US, Europe and all other countries excluding East and Southeast Asia",Roivant Sciences Ltd,Poxel SA,Poxel; Poxel SAS,Pharma,Roivant Sciences GmbH,Pharma,Asset License,Small Molecule,Endocrine/Metabolic,1,Diabetes,12-Feb-2018,12-Feb-2018,Drug - Development/Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over);License - Equity/Equity Option (Licensee invests in Licensor company),Active,675,50,35,600,,Payment Unspecified,Non-insulin dependent diabetes (Primary); Metabolic disorder,AMP activated protein kinase stimulator,Small molecule therapeutic (Primary); Oral formulation; Tablet formulation,imeglimin,Phase 3 Clinical,Phase 3 Clinical,Europe; US,Burma; Cambodia; China; Indonesia; Japan; Laos; Malaysia; Philippines; Singapore; South Korea; Taiwan; Thailand; Vietnam
Sangamo and Kite pharma to develop and commercialize engineered cell therapies for cancer worldwide using ZFN technology,Kite Pharma Inc,Sangamo Therapeutics Inc,Sangamo BioSciences Inc,Pharma,,Biotech,Modality,Gene Editing,Cancer,10,,20-Feb-2018,20-Feb-2018,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities),Active,3160,150,150,3010,,Payment Unspecified,Cancer (Primary),,Cell therapy (Primary); Biological therapeutic; Chimeric antigen receptor T cell therapy; Immuno-oncology; Parenteral formulation unspecified; Stem cell therapy; T-lymphocyte cell therapy,"genetically engineered ex-vivo cell therapies (ZFN technology, cancer), Sangamo/Kite",Preclinical,Preclinical,World,
Roivant to develop and commercialize Ligand's LGD-6972 for type 1 and type 2 diabetes worldwide,Roivant Sciences Ltd,Ligand Pharmaceuticals Inc,Ligand Pharmaceuticals International Inc; Progenx Inc,Pharma,Roivant Sciences GmbH,Pharma,Asset License,Small Molecule,Endocrine/Metabolic,1,Diabetes,05-Mar-2018,05-Mar-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,548.8,20,20,528.8,,Payment Unspecified,Insulin dependent diabetes (Primary); Non-insulin dependent diabetes,Glucagon receptor antagonist,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,RVT-1502,Phase 2 Clinical,Phase 2 Clinical,World,
"Prothena and Celgene to develop and commercialize antibodies targeting Tau, TDP-43 and an undisclosed target against neurodegenerative diseases worldwide",Celgene Corp,Prothena Corp plc,Neotope Biosciences Ltd; Prothena; Prothena Biosciences Ltd; Prothena Therapeutics Ltd,Biotech,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Screening,Antibody,Neurology/Psychiatric,3,targeting protein misfolding,20-Mar-2018,20-Mar-2018,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,2262.5,150,100,1687.5,,Payment Unspecified,Neurodegenerative disease (Primary); Alzheimers disease; Brain disease; Frontotemporal dementia; Motor neurone disease,TAR DNA binding protein 43 inhibitor; Tau protein modulator,Antibody (Primary); Biological therapeutic; Parenteral formulation unspecified,"TDP-43; tau-targeted antibody therapy (Alzheimer's disease), Prothena",Preclinical,Discovery,World,
Nektar and BMS to develop and commercialize NKTR-214 in combination with Opdivo and (Opdivo + Yervoy) against cancer worldwide,Bristol-Myers Squibb Co,Nektar Therapeutics,Inhale Therapeutic Systems; Inhale Therapeutic Systems Inc; Nektar Therapeutics (Formely Inhale Therapeutic System Inc); Nektar Therapeutics (Formerly Inhale Therapeutic Systems Inc); Nektar Therapeutics Al Corp; Nektar Therapeutics Uk Ltd,Pharma,Bristol-Myers Co; Bristol-Myers Squibb; Bristol-Myers Squibb Corp; Squibb Bristol Myers Co,Pharma,Asset License,Small Molecule,Cancer,1,combo therapy with opdivo and ipilimumab,13-Feb-2018,03-Apr-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Supply (Licensor manufactures product);License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - Equity/Equity Option (Licensee invests in Licensor company),Active,3630,1850,1000,1780,,,Cancer (Primary); Acute myelogenous leukemia; Advanced solid tumor; Anal tumor; B-cell lymphoma; Biliary cancer; Bladder cancer; Bladder tumor; Bone tumor; Breast tumor; Central nervous system tumor; Chronic lymphocytic leukemia; Chronic myelocytic leukemia; Colon tumor; Colorectal tumor; Diffuse large B-cell lymphoma; Esophagus tumor; Fallopian tube cancer; Follicle center lymphoma; Genitourinary tract tumor; Germ cell and embryonic cancer; Glioblastoma; Gonad tumor; Head and neck tumor; Hematological neoplasm; Hepatocellular carcinoma; Hodgkins disease; Hormone dependent prostate cancer; Hormone refractory prostate cancer; Lung tumor; Lymphoma; Melanoma; Merkel cell carcinoma; Mesothelioma; Metastasis; Metastatic bladder cancer; Metastatic breast cancer; Metastatic colon cancer; Metastatic colorectal cancer; Metastatic esophageal cancer; Metastatic head and neck cancer; Metastatic liver cancer; Metastatic non small cell lung cancer; Metastatic pancreas cancer; Metastatic prostate cancer; Metastatic renal cancer; Metastatic stomach cancer; Mouth tumor; Multiple myeloma; Myelodysplastic syndrome; Neoplastic meningitis; Non-Hodgkin lymphoma; Non-small-cell lung cancer; Ovary tumor; Pancreas tumor; Peritoneal tumor; Prostate tumor; Rectal tumor; Renal cell carcinoma; Salivary gland cancer; Small-cell lung cancer; Soft tissue sarcoma; Solid tumor; Stage III melanoma; Stage IV melanoma; Stomach tumor; Testis tumor; Transitional cell carcinoma; Uterine cervix tumor; Uterus tumor; Uveal melanoma,CD122 agonist; Cytokine receptor agonist; Cytotoxic T-lymphocyte protein-4 inhibitor; IL-2 receptor agonist; Interleukin-2 ligand; Programmed cell death protein 1 inhibitor,Protein recombinant (Primary); Biological therapeutic; Drug combination; Immuno-oncology; Immunoglobulin G isotype antibody; Infusion; Intravenous formulation; Monoclonal antibody human; PEGylated formulation; Protein conjugated; Solution,"bempegaldesleukin (Orphan Drug); ipilimumab (Fast Track, Orphan Drug); nivolumab (Fast Track, Orphan Drug)",Launched,Launched,World,
Eli Lilly to develop encapsulated cell therapies using Sigilon's Afibromer technology for type 1 diabetes worldwide,Eli Lilly & Co,Sigilon Therapeutics,Sigilon Inc; Sigilon Therapeutics Inc,Pharma,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Modality,Cell Therapy,Endocrine/Metabolic,1,"encapsulated cell therapy, specific focus on islet cell",04-Apr-2018,04-Apr-2018,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities),Active,473,63,63,410,,Payment Unspecified,Insulin dependent diabetes (Primary),,Pluripotent stem cell therapy (Primary); Biological therapeutic; Pancreagenic potential stem cell therapy; Parenteral formulation,"SIG-002 (type 1 diabetes), Sigilon/Eli Lilly",Discovery,Preclinical,World,
"Astellas to develop and commercialize Aquinox's rosiptor for IC/BPS in worldwide, Asia-Pacific region including Japan and ex-China and India",Astellas Pharma Inc,Neoleukin Therapeutics Inc,Aquinox Pharmaceuticals (Canada) Inc; Aquinox Pharmaceuticals Inc; Aquinox Pharmaceuticals USA Inc,Pharma,Astellas Deutschland Gmbh; Astellas Farma Brasil Importacao e Distribuicao de Medicamentos Ltda; Astellas Ireland Co Ltd; Astellas Pharm Inc; Astellas Pharma; Astellas Pharma Corp; Astellas Pharmaceutical Kk; Astellas Pharma Inc; Yamanouchi Pharmaceutical Co Ltd; Yamanouchi Yakuhin Shokai KK,Pharma,Asset License,Small Molecule,Genitourinary/Sexual Function,1,IC/BPS,09-May-2018,09-May-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,155,25,25,130,,Payment Unspecified,Bladder pain (Primary); Inflammatory disease; Interstitial cystitis; Pain,SH2 domain inositol phosphatase 1 stimulator,Small molecule therapeutic (Primary); Oral formulation; Tablet formulation,rosiptor acetate,Phase 3 Clinical,Discontinued,Australia; Indonesia; Japan; Malaysia; South Korea; Taiwan; World,China; India
"VFMCRP to commercialize Cara's CR-845 injection for CKD-aP worldwide Ex-US, Japan and South Korea",Vifor-Fresenius Medical Care Renal Pharma Ltd,Cara Therapeutics Inc,,Biotech,Vifor Fresenius Medical Care Renal Pharma,Pharma,Asset License,Small Molecule,Dermatologic,1,CKD-associated pruritus,17-May-2018,17-May-2018,Drug - Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over),Active,540,70,50,470,,Payment Unspecified,Pruritus (Primary),Opioid receptor kappa agonist,Peptide (Primary); Biological therapeutic; Infusion; Intravenous formulation; Sustained release formulation,"difelikefalin (iv infusion, pain/ pruritus), Cara/Ferring/Maruishi/Chong Kun Dang/Kissei/Vifor",Phase 3 Clinical,Phase 3 Clinical,World,Japan; South Korea; US
