,Any oligo/gene expr. deal with upfront > $10M; excluding acquisitions < $300M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deal Title,Pharma,Biotech,Other Company Names (Principal Company),Principal Company Type,Other Company Names (Partner Company),Partner Company Type,Bucket,Modality,TA,# of Targets,Color,Deal Start Date,End Date,Most Recent Event Date,Agreement Type,Deal Asset Type,Deal Transaction Type,Status,Total Projected At-Signing (USD M),Total Projected Current (USD M),Total Paid (USD M),Upfront Payment At-signing(USD M),Royalties,Indications,Target-based Actions,Technologies,Drugs,Total Milestone Current (USD M),Total Milestone At-signing(USD M),Maximum Royalty Rate Current (%),Maximum Royalty Rate At Signing (%),Drugs Highest Status (Deal Start),Drugs Highest Status (Current),Territories Included,Territories Excluded
J,Dicerna and Roche to develop DCR-HBVS and oligonucleotide therapeutics for HBV infection worldwide,Roche Holding AG,Dicerna Pharmaceuticals Inc,Dicerna Phamaceuticals Inc; Dicerna Pharmaceuticals; Oncorna Pharmaceuticals Inc,Pharma,Roche; Roche GmbH; Roche Holding Ltd; Roche Holdings Inc; Roche R&D Center China Ltd,Pharma,Asset License,RNAi,Infection,1,"HBV infection; some discussion of continued access to Dicerna's platform, but nothing concrete",30-Oct-2019,,19-Dec-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,1670,1670,200,200,,Hepatitis B virus infection (Primary),,Oligonucleotide (Primary); Biological therapeutic; Gene transfer system viral; Oligonucleotide conjugated; Subcutaneous formulation,RG-6346,1470,1470,Payment Unspecified,Payment Unspecified,Phase 1 Clinical,Phase 1 Clinical,World,
J,Pfizer to develop Akcea Therapeutics' AKCEA-ANGPTL3-LRx against cardiovascular and metabolic diseases worldwide,Pfizer Inc,Akcea Therapeutics Inc,,Pharma,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Asset License,ASO,Cardiovascular,1,ASO; Deal purpose is in part to give Pfizer foothold in this TA; Ionis is a part of this deal as well,04-Oct-2019,,19-Nov-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over),Active,1550,1550,250,250,,Cardiovascular disease; Metabolic disorder,Angiopoietin-related protein-3 inhibitor,Oligonucleotide antisense (Primary); Biological therapeutic; Subcutaneous formulation,vupanorsen,1300,1300,Payment Unspecified,Payment Unspecified,Phase 2 Clinical,Phase 2 Clinical,World,
J,Ultragenyx and GeneTx to develop GTX-102 for Angelman syndrome with an option to acquire GeneTx,Ultragenyx Pharmaceutical Inc,GeneTx Biotherapeutics LLC,,Biotech,,Biotech,Asset License,ASO,Rare Disease,1,ASO; Angelman syndrome (neuro),14-Aug-2019,,14-August-2019,Drug - Development/Commercialization License,Product(s) only; Company; Drug,License - Collaboration (Shared responsibilities);Acquisition - Option,Active,45,45,20,20,,Angelman syndrome (Primary),UBE3A gene stimulator,Oligonucleotide antisense (Primary); Biological therapeutic; RNA antisense,"GTX-102, GeneTx (Fast Track, Orphan Drug)",Payment Unspecified,Payment Unspecified,Payment Unspecified,Payment Unspecified,Preclinical,Phase 2 Clinical,,
J,Mallinckrodt to develop and commercialize Silence's SLN-500 and with an option to up to two RNAi therapeutics against autoimmune diseases worldwide,Mallinckrodt plc,Silence Therapeutics plc,SR Pharma plc; Silence Therapeutics; Silence Therapeutics (London) Limited; Stanford Rook Hldg PLC; Stanford Rook Holdings plc,Pharma,Mallinckrodt Pharmaceuticals,Pharma,Asset License,RNAi,Immune,3,License for a single drug with option to license for 2 other unspecified complement targets,18-Jul-2019,,24-Sep-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Equity/Equity Option (Licensee invests in Licensor company);License - Collaboration (Shared responsibilities),Active,2104,2104,27,20,,Autoimmune disease (Primary),C3 gene inhibitor; Gene target,Small molecule therapeutic (Primary); Biological therapeutic; Infusion; Intravenous formulation; Oligonucleotide; RNA antisense; RNA technology,SLN-500,2079,2079,,,Discovery,Preclinical,World,
G,Sarepta to commercialize Lysogene's LYS-SAF302 for MPS IIIA in the US and all territories outside of Europe with an option to additional CNS gene therapy candidate,Sarepta Therapeutics Inc,LYSOGENE,Lysogene; Lysogenic; SANFILIPPO THERAPEUTICS SAS,Biotech,AVI BioPharma Inc; AntiVirals Inc,Pharma,Asset License,Gene Therapy,Rare Disease,1,Leading indication GA + 1 additional CNS GTx option,15-Oct-2018,,30-Sep-2019,Drug - Commercialization License,Drug; Product(s) only,License - License Option (Option to take a license);License - Basic License (Licensee takes over),Active,130.8,130.8,46.7,26.1,,Sanfilippo syndrome (Primary),SGSH gene stimulator; SUMF1 gene stimulator,Gene transfer system (Primary); Biological therapeutic; Intracerebroventricular formulation; Virus recombinant,"LYS-SAF-302 (Fast Track, Orphan Drug)",102.8,102.8,,,Phase 3 Clinical,Phase 3 Clinical,US,Europe
G,"Roche to develop Ionis's IONIS-FB-LRx for Geographic Atrophy worldwide, with an option to commercialize",Roche AG,Ionis Pharmaceuticals Inc,Ionis Pharmaceuiticals Inc; Isis Pharm Inc; Isis Pharmaceuticals Inc,Biotech,,Pharma,Asset License,ASO,Immune,1,Complement-mediated diseases; AMD leading indication + option to add others with same target (Modality co/co),09-Oct-2018,,09-Oct-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,759,759,75,75,,Dry age related macular degeneration (Primary),CFB gene inhibitor,Oligonucleotide antisense (Primary); Biological therapeutic; Oligonucleotide conjugated; Subcutaneous formulation,IONIS-FB-LRx,Payment Unspecified,Payment Unspecified,,,Phase 2 Clinical,Phase 2 Clinical,World,
G,"Janssen to develop and commercialize Arrowhead's ARO-HBV, with an option to develop RNAi therapeutics against three targets worldwide",Janssen Pharmaceuticals Inc,Arrowhead Pharmaceuticals Inc,Arrowhead Pharmcaceuticals Inc; Arrowhead Research Corp; Interactive Group Inc,Pharma,Ortho McNeil Pharmaceutical Inc; Ortho-McNeil Pharmaceutical Inc; Ortho-McNeil-Janssen Pharmaceutical; Ortho-McNeil-Janssen Pharmaceuticals; Ortho-McNeil-Janssen Pharmaceuticals Inc; Ortho-Mcneil Pharmaceutical Corp; Ortho-Mcneil-Janssen Phamaceuticals Inc,Pharma,Asset License,RNAi,Infection,1,HBV,03-Oct-2018,,29-Aug-2019,Drug - Development/Commercialization License,Drug Delivery Technology; Drug; Product(s) only,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,3750,3750,225,175,,Hepatitis B virus infection (Primary); Liver disease,Hepatitis B structural protein inhibitor; Unspecified gene inhibitor,Oligonucleotide (Primary); Biological therapeutic; Oral formulation; Parenteral formulation unspecified; Small molecule therapeutic; Subcutaneous formulation; Tablet formulation,ARO-JNJ-1; JNJ-3989; JNJ-56136379,3500,3500,,,Phase 2 Clinical,Phase 2 Clinical,World,
G,PTC to commercialize Akcea's Tegsedi and Waylivra in Latin America and certain Caribbean countries,PTC Therapeutics Inc,Akcea Therapeutics Inc,,Pharma,Ptc Therapeutics,Pharma,Asset License,ASO,Rare Disease,2,"Commercialize two of Akcea's drugs in Latin America; hATTR, familial chylomicronemia syndrome",01-Aug-2018,,30-Jun-2019,Drug - Commercialization License,Product(s) only; Drug,Distribution,Active,26,26,18,18,,Familial amyloid neuropathy; Hyperlipoproteinemia type I,Amyloid protein deposition inhibitor; TTR gene inhibitor; Transthyretin inhibitor,Oligonucleotide antisense (Primary); Biological therapeutic; Subcutaneous formulation,"inotersen (Fast Track, Orphan Drug); volanesorsen (Orphan Drug)",8,8,Payment Unspecified,Payment Unspecified,Launched,Launched,Caribbean Islands; Central America; Mexico; North America; South America,
